mp,id,date_filed,title,url,status,fullname,firstname,lastname,file_date
2052,001,1991-07-30  ,STart Up New Tokamak (Non-cryogenic operation of Alcator C-MOD),http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/001.pdf,Closed,Steve Wolfe,Steve,Wolfe, 7/30/1991
2053,002,1993-04-22  ,Re-start C-MOD Operation and Verify Electromagnetic Modeling Results (Re.C.O.V.E.R.),http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/002.pdf,Closed,Robert Granetz,Robert,Granetz, 4/22/1993
2054,005,1993-07-13  ,Sawtooth Studies,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/005.pdf,Closed,Robert Granetz,Robert,Granetz, 7/13/1993
1445,010,1993-07-13  ,Transport in Ohmic Plasmas,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/010.pdf,Closed,Martin Greenwald,Martin,Greenwald, 7/13/1993
1446,011,1993-07-13  ,Investigation of the Effects of Rapid Gas Puffing,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/011.pdf,Closed,Jim Irby,Jim,Irby, 7/13/1993
1444,009,1993-07-14  ,Pellet Fueling Studies,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/009.pdf,Closed,Martin Greenwald,Martin,Greenwald, 7/14/1993
1449,014,1993-07-14  ,ICRF Antenna Loading Studies,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/014.pdf,Closed,Yuichi Takase,Yuichi,Takase, 7/14/1993
1447,012,1993-07-15  ,Operation with EF3 coils in series,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/012.pdf,Closed,Steve Wolfe,Steve,Wolfe, 7/15/1993
1448,013,1993-07-16  ,Discharge development,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/013.pdf,Closed,Steve Wolfe,Steve,Wolfe, 7/16/1993
1450,017,1993-07-19  ,Laser Ablation Impurity Injection,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/017.pdf,Closed,Michael Graf,Michael,Graf, 7/19/1993
1451,019,1993-07-22  ,Plasma current feedback control,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/019.pdf,Closed,John Goetz,John,Goetz, 7/22/1993
1452,028,1993-09-07  ,X-point Control of Diverted Plasmas,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/028.pdf,Closed,John Goetz,John,Goetz, 9/7/1993
1782,029,1993-09-07  ,Laser Ablation Impurity Injection,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/029.pdf,Closed,Michael Graf,Michael,Graf, 9/7/1993
1481,075,1994-01-08  ,\'q\' profile measurements using Lithium pellet ablation cloud imaging.,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/075.pdf,Closed,Darren Garnier,Darren,Garnier, 1/8/1994
1453,038,1994-02-22  ,Lithium Conditioning and Ohmic H Modes,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/038.pdf,Closed,Joseph Snipes,Joseph,Snipes, 2/22/1994
1454,039,1994-03-10  ,Effect of divertor geometry on detachment,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/039.pdf,Closed,Bruce Lipschultz,Bruce,Lipschultz, 3/10/1994
1457,043,1994-03-31  ,Effect of edge radiation on divertor detachment,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/043.pdf,Closed,Gary McCracken,Gary,McCracken, 3/31/1994
1458,044,1994-03-31  ,Impurity transport and impurity sputtering in the divertor.,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/044.pdf,Closed,Gary McCracken,Gary,McCracken, 3/31/1994
1455,040,1994-04-04  ,Checking vertical alignment of ECE,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/040.pdf,Closed,Amanda Hubbard,Amanda,Hubbard, 4/4/1994
1821,054,1994-04-05  ,ICRF Antenna Conditioning (PRF> 100kW),http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/054.pdf,Closed,Yuichi Takase,Yuichi,Takase, 4/5/1994
1456,042,1994-04-06  ,Power Supply and Hybrid Dynamics Characterization.,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/042.pdf,Closed,Gerry Tinios,Gerry,Tinios, 4/6/1994
1459,045,1994-04-07  ,Cold Pulse Propagation,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/045.pdf,Closed,Michael Graf,Michael,Graf, 4/7/1994
1460,046,1994-04-07  ,Ohmic Confinement,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/046.pdf,Closed,Martin Greenwald,Martin,Greenwald, 4/7/1994
1461,047,1994-04-07  ,Transport Studies with Strong ICRF Heating,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/047.pdf,Closed,Martin Greenwald,Martin,Greenwald, 4/7/1994
1464,050,1994-04-08  ,Trace Impurity Transport (Laser Ablation Impurity Injection),http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/050.pdf,Closed,Michael Graf,Michael,Graf, 4/8/1994
1462,048,1994-04-08  ,HIREX Troubleshooting,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/048.pdf,Closed,John Rice,John,Rice, 4/8/1994
1463,049,1994-04-08  ,2D Neutral Density Profile Measurements by Charge Exchange Recombination,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/049.pdf,Closed,John Rice,John,Rice, 4/8/1994
1466,053,1994-04-08  ,Study of Closed Loop Response of Elongated Plasmas.,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/053.pdf,Closed,Gerry Tinios,Gerry,Tinios, 4/8/1994
1465,051,1994-04-08  ,Constant Shots for Measuring the Emission Profiles of Molybdenum Ionization,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/051.pdf,Closed,Jim Terry,Jim,Terry, 4/8/1994
1820,052,1994-04-12  ,ICRF Antenna Tuning (P<font size=,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/052.pdf,Closed,Yuichi Takase,Yuichi,Takase, 4/12/1994
1467,055,1994-05-13  ,Study of Core Particle Transport,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/055.pdf,Closed,Tom Luke,Tom,Luke, 5/13/1994
1468,056,1994-05-23  ,Comparison of impurity screening between diverted and limited plasmas.,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/056.pdf,Closed,Robert Granetz,Robert,Granetz, 5/23/1994
1469,057,1994-05-26  ,Fix the OH2 supplies.,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/057.pdf,Closed,Steve Horne,Steve,Horne, 5/26/1994
1470,058,1994-05-27  ,Pellet Injection Studies,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/058.pdf,Closed,Martin Greenwald,Martin,Greenwald, 5/27/1994
1822,059,1994-06-06  ,ICRF Heating (PRF>1 MW),http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/059.pdf,Closed,Yuichi Takase,Yuichi,Takase, 6/6/1994
1471,061,1994-06-13  ,Standard shot(s),http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/061.pdf,Closed,Steve Fairfax,Steve,Fairfax, 6/13/1994
1472,062,1994-06-16  ,PCX Beast commissioning,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/062.pdf,Closed,Rejean Boivin,Rejean,Boivin, 6/16/1994
1473,063,1994-06-20  ,High Pressure Calibration of Divertor Gauges,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/063.pdf,Closed,A Niemczewski,A,Niemczewski, 6/20/1994
1476,069a,1994-11-13  ,Development of New Equilibria for Divertor Geometry Studies,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/069a.pdf,Closed,Bruce Lipschultz,Bruce,Lipschultz,11/13/1994
1475,068a,1994-11-28  ,Effect of plasma outer gap on divertor characteristics,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/068a.pdf,Closed,Bruce Lipschultz,Bruce,Lipschultz,11/28/1994
1477,070,1994-11-28  ,Discharge Development; increase SN elongation,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/070.pdf,Closed,Steve Horne,Steve,Horne,11/28/1994
1478,071,1994-12-29  ,Comparison of NINJA Fueling Locations and Puffing Rates in Identical         Plasmas,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/071.pdf,Closed,D Jablonski,D,Jablonski,12/29/1994
1480,074,1994-12-30  ,Optimizing Ohmic H Modes at 5.3 T,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/074.pdf,Closed,Joseph Snipes,Joseph,Snipes,12/30/1994
1474,067,1995-01-09  ,Plasma Radial Position Feedback to Maintain Constant Antenna Loading,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/067.pdf,Closed,Yuichi Takase,Yuichi,Takase, 1/9/1995
1482,076,1995-01-12  ,Raise plasma current to 1.2 MA,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/076.pdf,Closed,Robert Granetz,Robert,Granetz, 1/12/1995
1479,073a,1995-01-20  ,Effect of RF heating on divertor detachment characteristics,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/073a.pdf,Closed,Bruce Lipschultz,Bruce,Lipschultz, 1/20/1995
1486,080,1995-01-20  ,Effect of Separatrix strike point location on divertor detachment,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/080.pdf,Closed,Bruce Lipschultz,Bruce,Lipschultz, 1/20/1995
1487,081,1995-01-22  ,Li pellet + ICRF ``PEP\'\' Mode,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/081.pdf,Closed,Yuichi Takase,Yuichi,Takase, 1/22/1995
1485,079,1995-01-23  ,Toroidal Field Scan with ICRF Heating,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/079.pdf,Closed,Yuichi Takase,Yuichi,Takase, 1/23/1995
1483,077a,1995-02-02  ,ICRF Heating in L-mode Plasmas,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/077a.pdf,Closed,Yuichi Takase,Yuichi,Takase, 2/2/1995
1489,086,1995-02-02  ,Ohmic H Modes at Low q,http://www-internal.psfc.mit.edu/cmod/operations/miniproposals/086.pdf,Closed,Joseph Snipes,Joseph,Snipes, 2/2/1995
